Date ,CDS
2020-01-01,33.541
2020-01-02,32.978
2020-01-03,34.826
2020-01-06,36.795
2020-01-07,35.503
2020-01-08,35.761
2020-01-09,34.325
2020-01-10,34.262
2020-01-13,33.975
2020-01-14,34.166
2020-01-15,34.194
2020-01-16,32.971
2020-01-17,32.968
2020-01-20,33.003
2020-01-21,35.532
2020-01-22,36.151
2020-01-23,37.645
2020-01-24,38.865
2020-01-27,37.62
2020-01-28,41.228
2020-01-29,39.667
2020-01-30,41.836
2020-01-31,41.524
2020-02-03,40.52
2020-02-04,37.351
2020-02-05,34.703
2020-02-06,34.968
2020-02-07,36.756
2020-02-10,36.755
2020-02-11,35.854
2020-02-12,34.467
2020-02-13,34.723
2020-02-14,34.487
2020-02-17,34.532
2020-02-18,35
2020-02-19,34.223
2020-02-20,34.383
2020-02-21,35.32
2020-02-24,40.007
2020-02-25,39.318
2020-02-26,41.29
2020-02-27,44.232
2020-02-28,54.88
2020-03-02,53.554
2020-03-03,48.348
2020-03-04,50.624
2020-03-05,50.536
2020-03-06,59.608
2020-03-09,95.481
2020-03-10,76.572
2020-03-11,87.086
2020-03-12,133.256
2020-03-13,113.091
2020-03-16,125.405
2020-03-17,130.978
2020-03-18,141.771
2020-03-19,154.19
2020-03-20,145.336
2020-03-23,170.975
2020-03-24,129.162
2020-03-25,103.708
2020-03-26,101.84
2020-03-27,98.203
2020-03-30,115.429
2020-03-31,104.411
2020-04-01,113.87
2020-04-02,113.946
2020-04-03,120.191
2020-04-06,106.337
2020-04-07,99.684
2020-04-08,99.578
2020-04-09,89.007
2020-04-10,96.056
2020-04-13,83.238
2020-04-14,78.412
2020-04-15,85.034
2020-04-16,85.664
2020-04-17,82.847
