Date ,PSEi_10d_vol,PSEi_30d_vol
2020-01-02,19.02,15.39
2020-01-03,15.68,15.79
2020-01-06,16.11,15.81
2020-01-07,16.28,15.9
2020-01-08,17.07,16.12
2020-01-09,15.42,16.31
2020-01-10,13.51,16.2
2020-01-14,13.53,16
2020-01-15,16.04,15.97
2020-01-16,15.44,15.78
2020-01-17,14.53,16
2020-01-20,18.27,16.35
2020-01-21,17.81,16.62
2020-01-22,17.33,16.6
2020-01-23,20.72,17.75
2020-01-24,20.81,17.74
2020-01-27,20.67,17.77
2020-01-28,20.49,18.28
2020-01-29,20.5,18.12
2020-01-30,19.41,18.23
2020-01-31,20.67,18.69
2020-02-03,20.46,17.79
2020-02-04,22.45,18.27
2020-02-05,21.7,19.18
2020-02-06,25.42,20.11
2020-02-07,25.36,19.49
2020-02-10,24.48,19.17
2020-02-11,24.5,19.19
2020-02-12,24.3,19.26
2020-02-13,18.45,19.17
2020-02-14,20.4,19.16
2020-02-17,19.63,19.31
2020-02-18,17.17,19.18
2020-02-19,13.47,19.21
2020-02-20,13.6,19.02
2020-02-21,12.86,19.06
2020-02-24,18.13,20.23
2020-02-26,26.43,22.68
2020-02-27,27.29,22.95
2020-02-28,28.86,23.61
2020-03-02,27.68,22.97
2020-03-03,28.56,23.03
2020-03-04,28.82,23.42
2020-03-05,28.86,22.43
2020-03-06,29.16,22.73
2020-03-09,43.49,30.11
2020-03-10,41.31,30.04
2020-03-11,40.92,30.2
2020-03-12,64.25,41.83
2020-03-13,65.82,41.83
2020-03-16,72.6,47.47
2020-03-19,91.35,61.45
2020-03-20,97.65,62.4
2020-03-23,98.51,61.48
2020-03-24,99.4,61.66
2020-03-25,108.08,64.87
2020-03-26,119.49,69.61
2020-03-27,108.54,69.73
2020-03-30,108.17,69.72
2020-03-31,102.24,71.23
2020-04-01,54.63,71.51
2020-04-02,55.84,71.45
2020-04-03,55.06,71.25
2020-04-06,56.77,72.86
2020-04-07,52.78,73.2
2020-04-08,42.35,73.2
2020-04-13,39.5,73.02
2020-04-14,35.5,73.72
2020-04-15,34.01,74.17
2020-04-16,56.98,76.97
2020-04-17,60.75,78.56
