Date ,PSEi_value,,,
01/01/2020,,,,
02/01/2020,7742.527,,,
03/01/2020,7839.789,,,
06/01/2020,7797.867,,,
07/01/2020,7840.699,,,
08/01/2020,7736.238,,,
09/01/2020,7797.637,,,
10/01/2020,7776.77,,,
13/01/2020,7776.77,,,
14/01/2020,7793.25,,,
15/01/2020,7664.398,,,
16/01/2020,7653.18,,,
17/01/2020,7722.578,,,
20/01/2020,7552.598,,,
21/01/2020,7466.648,,,
22/01/2020,7468.727,,,
23/01/2020,7616.348,,,
24/01/2020,7623.406,,,
27/01/2020,7587.629,,,
28/01/2020,7468.699,,,
29/01/2020,7462.309,,,
30/01/2020,7392.68,,,
31/01/2020,7200.789,,,
03/02/2020,7137.027,,,
04/02/2020,7226.898,,,
05/02/2020,7352.848,,,
06/02/2020,7506.508,,,
07/02/2020,7507.199,,,
10/02/2020,7430.859,,,
11/02/2020,7439.398,,,
12/02/2020,7383.102,,,
13/02/2020,7403.121,,,
14/02/2020,7282,,,
17/02/2020,7326.852,,,
18/02/2020,7322.891,,,
19/02/2020,7396.941,,,
20/02/2020,7413,,,
21/02/2020,7369.781,,,
24/02/2020,7187.441,,,
25/02/2020,,,,
26/02/2020,6909.84,,,
27/02/2020,6967.84,,,
28/02/2020,6787.91,,,
02/03/2020,6749.281,,,
03/03/2020,6790.539,,,
04/03/2020,6867.262,,,
05/03/2020,6884.77,,,
06/03/2020,6770.379,,,
09/03/2020,6312.609,,,
10/03/2020,6318.379,,,
11/03/2020,6353.262,,,
12/03/2020,5736.27,,,
13/03/2020,5793.941,,,
16/03/2020,5335.371,,,
17/03/2020,5335.371,,,
18/03/2020,,,,
19/03/2020,4623.422,,,
20/03/2020,4778.762,,,
23/03/2020,4743.371,,,
24/03/2020,4774.27,,,
25/03/2020,5027.762,,,
26/03/2020,5401.578,,,
27/03/2020,5266.621,,,
30/03/2020,5131.16,,,
31/03/2020,5321.23,,,
01/04/2020,5408.52,,,
02/04/2020,5342.309,,,
03/04/2020,5346.969,,,
06/04/2020,5570.809,,,
07/04/2020,5650.012,,,
08/04/2020,5510.828,,,
09/04/2020,,,,
10/04/2020,,,,
13/04/2020,5610.98,,,
14/04/2020,5780.879,,,
15/04/2020,5946.051,,,
16/04/2020,5525.602,,,
17/04/2020,5789.969,,,
