date,psei_ret,fx_ret,d_psei_10d_vol_log,d_psei_30d_vol_log,d_vix_log,cds_logdiff
2020-01-01,,,,,,
2020-01-02,,,,,,-0.016927899
2020-01-03,0.012483801,0.007724019,-0.193105042,0.02565888,0.117159122,0.054523562
2020-01-06,-0.005361686,-0.002587679,0.027054182,0.001265823,-0.012199649,0.054997732
2020-01-07,0.005477754,-0.003637977,0.010497163,0.005676458,-0.004341541,-0.035744766
2020-01-08,-0.013412466,-0.000197025,0.047385176,0.013741628,-0.024964586,0.007240714
2020-01-09,0.007905216,-0.001774973,-0.101657169,0.01171768,-0.070055571,-0.040983962
2020-01-10,-0.002679654,0.001479363,-0.132235216,-0.006767174,0.001593626,-0.001837083
2020-01-13,0,,,,-0.019293203,-0.008411908
2020-01-14,0.00211689,,,,0.005665738,0.005606037
2020-01-15,-0.016672004,0.003158001,0.17017616,-0.00187676,0.002418381,0.000819193
2020-01-16,-0.001464723,-0.001183082,-0.038124058,-0.011968647,-0.008084118,-0.036421803
2020-01-17,0.009026998,0.004252561,-0.060746067,0.013845407,-0.018018506,-9.10E-05
2020-01-20,-0.022256636,0.001354655,0.229044893,0.021639175,,0.001061072
2020-01-21,-0.01144544,0.000784468,-0.025500273,0.016378892,,0.073835232
2020-01-22,0.000278399,-0.002060541,-0.027320994,-0.001204094,0.004658394,0.017270912
2020-01-23,0.01957242,0.001472248,0.178660314,0.066982821,0.005407506,0.040495533
2020-01-24,0.000926262,-0.003340213,0.004334223,-0.000563539,0.114868331,0.031893959
2020-01-27,-0.004704094,0.000491908,-0.006750267,0.001689665,0.224790546,-0.032558279
2020-01-28,-0.015798337,-0.001535554,-0.008746411,0.028295924,-0.113131228,0.091581813
2020-01-29,-0.000855937,0.001633907,0.000487924,-0.008791265,0.006734032,-0.038598029
2020-01-30,-0.009374562,0.002848025,-0.054636489,0.006052288,-0.056476738,0.053237605
2020-01-31,-0.026299718,-0.00304474,0.062894977,0.024920033,0.195787615,-0.00748564
2020-02-03,-0.0088943,-0.000590377,-0.010211613,-0.04935212,-0.047278568,-0.024475894
2020-02-04,0.012513595,-0.000590726,0.092818854,0.026623869,-0.112994851,-0.081435994
2020-02-05,0.017277823,0.002753739,-0.033978354,0.048607699,-0.057708318,-0.073533546
