dictionary,dv,segment,direction,maxlag,N,ssr_ftest_F,ssr_ftest_p,predictor,response
Correa,psei_ret,F_L,Z→DV,1,69,0.012949925180614451,0.909748897327039,z_F_L,psei_ret
Correa,psei_ret,F_L,Z→DV,2,69,0.0372037106900766,0.9635013364191783,z_F_L,psei_ret
Correa,psei_ret,F_L,Z→DV,3,69,0.11587597414818983,0.9504605704085135,z_F_L,psei_ret
Correa,psei_ret,F_L,Z→DV,4,69,0.3444136891293538,0.8467939295824701,z_F_L,psei_ret
Correa,psei_ret,F_L,Z→DV,5,69,0.2848030717675056,0.9193867710833902,z_F_L,psei_ret
Correa,psei_ret,HP_L,Z→DV,1,69,0.09906677950107899,0.753960571758752,z_HP_L,psei_ret
Correa,psei_ret,HP_L,Z→DV,2,69,0.03815481056668302,0.9625864974875471,z_HP_L,psei_ret
Correa,psei_ret,HP_L,Z→DV,3,69,0.24773089548975152,0.8626289434856863,z_HP_L,psei_ret
Correa,psei_ret,HP_L,Z→DV,4,69,0.2416599863437036,0.9135131805615324,z_HP_L,psei_ret
Correa,psei_ret,HP_L,Z→DV,5,69,0.28242428736934,0.920717500543,z_HP_L,psei_ret
Correa,psei_ret,H_L,Z→DV,1,69,0.02182899704261559,0.8830002749441686,z_H_L,psei_ret
Correa,psei_ret,H_L,Z→DV,2,69,0.07338078787219196,0.9293274987448868,z_H_L,psei_ret
Correa,psei_ret,H_L,Z→DV,3,69,0.04763396370041831,0.9860886101498494,z_H_L,psei_ret
Correa,psei_ret,H_L,Z→DV,4,69,0.0778660940861197,0.9887515274398362,z_H_L,psei_ret
Correa,psei_ret,H_L,Z→DV,5,69,0.08977892684929073,0.9935309257123538,z_H_L,psei_ret
Correa,psei_ret,F_L,DV→Z,1,69,1.239182282321365,0.26972850295978884,psei_ret,z_F_L
Correa,psei_ret,F_L,DV→Z,2,69,0.5143752039606981,0.6004028809778139,psei_ret,z_F_L
Correa,psei_ret,F_L,DV→Z,3,69,0.35875314151117244,0.7829860810096848,psei_ret,z_F_L
Correa,psei_ret,F_L,DV→Z,4,69,0.20509065910976718,0.9345445292284901,psei_ret,z_F_L
Correa,psei_ret,F_L,DV→Z,5,69,0.19898896671748798,0.9614877877470612,psei_ret,z_F_L
Correa,psei_ret,HP_L,DV→Z,1,69,1.0332713285361523,0.31316035078764715,psei_ret,z_HP_L
Correa,psei_ret,HP_L,DV→Z,2,69,1.1087004023454015,0.3364402481132452,psei_ret,z_HP_L
Correa,psei_ret,HP_L,DV→Z,3,69,0.8518097427452563,0.4712182415784987,psei_ret,z_HP_L
Correa,psei_ret,HP_L,DV→Z,4,69,0.6176518877704286,0.6517587739055697,psei_ret,z_HP_L
Correa,psei_ret,HP_L,DV→Z,5,69,0.5021717610686282,0.7732361437129525,psei_ret,z_HP_L
Correa,psei_ret,H_L,DV→Z,1,69,1.153217328802556,0.28684714463539757,psei_ret,z_H_L
Correa,psei_ret,H_L,DV→Z,2,69,1.287730813725177,0.2831713235275282,psei_ret,z_H_L
Correa,psei_ret,H_L,DV→Z,3,69,1.117431319405401,0.349340227494991,psei_ret,z_H_L
Correa,psei_ret,H_L,DV→Z,4,69,1.1320471004484258,0.35080875884639245,psei_ret,z_H_L
Correa,psei_ret,H_L,DV→Z,5,69,0.9029353976541834,0.48617861584883015,psei_ret,z_H_L
Correa,d_psei_10d_vol_log,F_L,Z→DV,1,66,0.006237538319908145,0.9373044089719161,,
Correa,d_psei_10d_vol_log,F_L,Z→DV,2,66,0.09635581523584019,0.9082834371681131,,
Correa,d_psei_10d_vol_log,F_L,Z→DV,3,66,0.1402957229491508,0.9354455691788137,,
Correa,d_psei_10d_vol_log,F_L,Z→DV,4,66,0.14347642383766354,0.9650991156693047,,
Correa,d_psei_10d_vol_log,F_L,Z→DV,5,66,0.3384578448557197,0.8871939498635564,,
Correa,d_psei_10d_vol_log,HP_L,Z→DV,1,66,0.055008987026890103,0.8153386591292494,,
Correa,d_psei_10d_vol_log,HP_L,Z→DV,2,66,0.5702118414004074,0.5684903344039267,,
Correa,d_psei_10d_vol_log,HP_L,Z→DV,3,66,0.5904885921946113,0.6238006044453146,,
Correa,d_psei_10d_vol_log,HP_L,Z→DV,4,66,0.4631679759632815,0.7624116606288524,,
Correa,d_psei_10d_vol_log,HP_L,Z→DV,5,66,0.7336112689751582,0.6017025970112715,,
Correa,d_psei_10d_vol_log,H_L,Z→DV,1,66,1.124595194114414,0.2930448866461106,,
Correa,d_psei_10d_vol_log,H_L,Z→DV,2,66,1.0757529628466207,0.3476347852849478,,
Correa,d_psei_10d_vol_log,H_L,Z→DV,3,66,1.1141542897754284,0.351117021268946,,
Correa,d_psei_10d_vol_log,H_L,Z→DV,4,66,0.9097116277660361,0.46510364388888525,,
Correa,d_psei_10d_vol_log,H_L,Z→DV,5,66,0.7082051337981928,0.6200388472581677,,
Correa,d_psei_10d_vol_log,F_L,DV→Z,1,66,0.20636634016779173,0.6512168791508615,,
Correa,d_psei_10d_vol_log,F_L,DV→Z,2,66,0.12700308055797174,0.880971082974359,,
Correa,d_psei_10d_vol_log,F_L,DV→Z,3,66,0.23380271181721596,0.8724455638065707,,
Correa,d_psei_10d_vol_log,F_L,DV→Z,4,66,0.15256532893623234,0.9610305681984478,,
Correa,d_psei_10d_vol_log,F_L,DV→Z,5,66,0.1635047524061295,0.974752028961772,,
Correa,d_psei_10d_vol_log,HP_L,DV→Z,1,66,0.23798862922509384,0.6273833690113111,,
Correa,d_psei_10d_vol_log,HP_L,DV→Z,2,66,0.14787738011538423,0.8628555572036404,,
Correa,d_psei_10d_vol_log,HP_L,DV→Z,3,66,0.09839860649524271,0.9605863259660095,,
Correa,d_psei_10d_vol_log,HP_L,DV→Z,4,66,0.1778567992256713,0.9488535820080312,,
Correa,d_psei_10d_vol_log,HP_L,DV→Z,5,66,0.148945932907995,0.9794456767103,,
Correa,d_psei_10d_vol_log,H_L,DV→Z,1,66,0.02495914188332233,0.8749823430730473,,
Correa,d_psei_10d_vol_log,H_L,DV→Z,2,66,0.23793407982544681,0.7890073266059634,,
Correa,d_psei_10d_vol_log,H_L,DV→Z,3,66,0.248989598148164,0.8617174888139176,,
Correa,d_psei_10d_vol_log,H_L,DV→Z,4,66,0.23279944095848984,0.9187030221558892,,
Correa,d_psei_10d_vol_log,H_L,DV→Z,5,66,0.4221133518996666,0.8311172237363497,,
Correa,d_psei_30d_vol_log,F_L,Z→DV,1,66,0.30579198128494284,0.5822624173338103,,
Correa,d_psei_30d_vol_log,F_L,Z→DV,2,66,0.2850230664067563,0.7530264287443265,,
Correa,d_psei_30d_vol_log,F_L,Z→DV,3,66,0.36583929442856944,0.7779145446580773,,
Correa,d_psei_30d_vol_log,F_L,Z→DV,4,66,0.34578941863633056,0.8457775102173865,,
Correa,d_psei_30d_vol_log,F_L,Z→DV,5,66,0.40715799116882895,0.8415644918984596,,
Correa,d_psei_30d_vol_log,HP_L,Z→DV,1,66,0.04753269522172083,0.8281295623903249,,
Correa,d_psei_30d_vol_log,HP_L,Z→DV,2,66,0.041905025542840466,0.958989368239674,,
Correa,d_psei_30d_vol_log,HP_L,Z→DV,3,66,0.14203440593252012,0.9343468159649629,,
Correa,d_psei_30d_vol_log,HP_L,Z→DV,4,66,0.16960066928066747,0.9529607063687919,,
Correa,d_psei_30d_vol_log,HP_L,Z→DV,5,66,0.5295538384178528,0.7528035811360305,,
Correa,d_psei_30d_vol_log,H_L,Z→DV,1,66,0.13609699194271055,0.7134492243714063,,
Correa,d_psei_30d_vol_log,H_L,Z→DV,2,66,0.18378003981916446,0.8325933369610602,,
Correa,d_psei_30d_vol_log,H_L,Z→DV,3,66,0.25447600341120663,0.8578227895070826,,
Correa,d_psei_30d_vol_log,H_L,Z→DV,4,66,0.23327278597817816,0.9184244415094072,,
Correa,d_psei_30d_vol_log,H_L,Z→DV,5,66,0.1981702196778344,0.9617377227925934,,
Correa,d_psei_30d_vol_log,F_L,DV→Z,1,66,0.0028966270809879114,0.9572513660215125,,
Correa,d_psei_30d_vol_log,F_L,DV→Z,2,66,0.005846868262624044,0.9941707673745256,,
Correa,d_psei_30d_vol_log,F_L,DV→Z,3,66,0.5144158312928905,0.6740264126399518,,
Correa,d_psei_30d_vol_log,F_L,DV→Z,4,66,0.7567875400086406,0.5580545686473555,,
Correa,d_psei_30d_vol_log,F_L,DV→Z,5,66,0.5562342587483288,0.7328621605487874,,
Correa,d_psei_30d_vol_log,HP_L,DV→Z,1,66,0.14617105635442515,0.7035290728945021,,
Correa,d_psei_30d_vol_log,HP_L,DV→Z,2,66,0.10919691413339012,0.8967346228476403,,
Correa,d_psei_30d_vol_log,HP_L,DV→Z,3,66,0.12884213337452913,0.942585119891878,,
Correa,d_psei_30d_vol_log,HP_L,DV→Z,4,66,0.0904499570999824,0.9850650006512407,,
Correa,d_psei_30d_vol_log,HP_L,DV→Z,5,66,0.31931121546019564,0.8990535634798414,,
Correa,d_psei_30d_vol_log,H_L,DV→Z,1,66,0.05870943665777389,0.8093471999533867,,
Correa,d_psei_30d_vol_log,H_L,DV→Z,2,66,0.10684645629938537,0.8988371308687912,,
Correa,d_psei_30d_vol_log,H_L,DV→Z,3,66,0.07789133056825902,0.971706961290769,,
Correa,d_psei_30d_vol_log,H_L,DV→Z,4,66,0.09024420217579715,0.9851285777188221,,
Correa,d_psei_30d_vol_log,H_L,DV→Z,5,66,0.15303646622830303,0.9781746066899368,,
Correa,cds_logdiff,F_L,Z→DV,1,77,0.027108788619551037,0.8696765297192286,,
Correa,cds_logdiff,F_L,Z→DV,2,77,0.13573588821072094,0.8733024243995298,,
Correa,cds_logdiff,F_L,Z→DV,3,77,0.0009634124888634731,0.9999582516438594,,
Correa,cds_logdiff,F_L,Z→DV,4,77,0.20665518180742193,0.9338259435403115,,
Correa,cds_logdiff,F_L,Z→DV,5,77,0.19444295537313347,0.9635266966552496,,
Correa,cds_logdiff,HP_L,Z→DV,1,77,0.017526347885509285,0.8950423376940626,,
Correa,cds_logdiff,HP_L,Z→DV,2,77,0.05140422804966209,0.9499304415640832,,
Correa,cds_logdiff,HP_L,Z→DV,3,77,0.02706028745960341,0.9939355138670267,,
Correa,cds_logdiff,HP_L,Z→DV,4,77,0.19116082682017713,0.9421770113155973,,
Correa,cds_logdiff,HP_L,Z→DV,5,77,0.18157870485300057,0.9685245709801089,,
