date,source,url,seg,pos_cnt,neg_cnt,neutral_cnt,total_cnt,fill_source,dict
2020-01-01,Business World,https://www.bworldonline.com/banking-finance/2020/01/01/271324/peso-seen-weakening-this-year/,H,0,1,3,4,auto,Correa
2020-01-01,Business World,https://www.bworldonline.com/banking-finance/2020/01/01/271324/peso-seen-weakening-this-year/,F,9,2,443,454,auto,Correa
2020-01-01,Business World,https://www.bworldonline.com/banking-finance/2020/01/01/271324/peso-seen-weakening-this-year/,HP,1,2,18,21,auto,Correa
2020-01-01,Business World,https://www.bworldonline.com/editors-picks/2020/01/01/271323/shares-to-climb-on-budgets-signing-trade-deal/,H,0,0,6,6,auto,Correa
2020-01-01,Business World,https://www.bworldonline.com/editors-picks/2020/01/01/271323/shares-to-climb-on-budgets-signing-trade-deal/,F,4,2,224,230,auto,Correa
2020-01-01,Business World,https://www.bworldonline.com/editors-picks/2020/01/01/271323/shares-to-climb-on-budgets-signing-trade-deal/,HP,1,0,23,24,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271325/yields-on-govt-debt-flat-5/,H,0,0,4,4,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271325/yields-on-govt-debt-flat-5/,F,4,1,396,401,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271325/yields-on-govt-debt-flat-5/,HP,0,0,22,22,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271510/peso-weakens-versus-the-dollar-on-corporate-demand-stock-market/,H,0,0,8,8,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271510/peso-weakens-versus-the-dollar-on-corporate-demand-stock-market/,F,1,7,192,200,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271510/peso-weakens-versus-the-dollar-on-corporate-demand-stock-market/,HP,0,2,20,22,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271345/ali-targets-reit-offering-this-year/?noamp=mobile&amp,H,0,0,5,5,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271345/ali-targets-reit-offering-this-year/?noamp=mobile&amp,F,3,1,243,247,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271345/ali-targets-reit-offering-this-year/?noamp=mobile&amp,HP,0,0,17,17,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271503/index-declines-on-outflows-due-to-china-rrr-cut/,H,0,1,5,6,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271503/index-declines-on-outflows-due-to-china-rrr-cut/,F,3,6,244,253,auto,Correa
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271503/index-declines-on-outflows-due-to-china-rrr-cut/,HP,0,1,33,34,auto,Correa
2020-01-02,Inquirer,https://business.inquirer.net/286426/bsp-to-require-real-time-liquidity-reports-from-big-banks,H,0,0,8,8,manual,Correa
2020-01-02,Inquirer,https://business.inquirer.net/286426/bsp-to-require-real-time-liquidity-reports-from-big-banks,F,4,0,243,247,manual,Correa
2020-01-02,Inquirer,https://business.inquirer.net/286426/bsp-to-require-real-time-liquidity-reports-from-big-banks,HP,0,0,34,34,manual,Correa
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271482/govt-eyes-tighter-debt-spreads/,H,0,0,5,5,auto,Correa
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271482/govt-eyes-tighter-debt-spreads/,F,5,3,383,391,auto,Correa
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271482/govt-eyes-tighter-debt-spreads/,HP,0,0,26,26,auto,Correa
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271624/stocks-peso-drop-on-1st-trading-day-of-2020/,H,0,0,6,6,auto,Correa
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271624/stocks-peso-drop-on-1st-trading-day-of-2020/,F,6,13,363,382,auto,Correa
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271624/stocks-peso-drop-on-1st-trading-day-of-2020/,HP,0,0,7,7,auto,Correa
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271661/local-stocks-post-years-first-rise/,H,0,0,5,5,auto,Correa
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271661/local-stocks-post-years-first-rise/,F,9,1,209,219,auto,Correa
