date,source,url,seg,pos_cnt,neg_cnt,neutral_cnt,total_cnt,fill_source,dict
2020-01-01,Business World,https://www.bworldonline.com/banking-finance/2020/01/01/271324/peso-seen-weakening-this-year/,H,0,1,3,4,auto,LM
2020-01-01,Business World,https://www.bworldonline.com/banking-finance/2020/01/01/271324/peso-seen-weakening-this-year/,F,10,11,433,454,auto,LM
2020-01-01,Business World,https://www.bworldonline.com/banking-finance/2020/01/01/271324/peso-seen-weakening-this-year/,HP,1,3,17,21,auto,LM
2020-01-01,Business World,https://www.bworldonline.com/editors-picks/2020/01/01/271323/shares-to-climb-on-budgets-signing-trade-deal/,H,0,0,6,6,auto,LM
2020-01-01,Business World,https://www.bworldonline.com/editors-picks/2020/01/01/271323/shares-to-climb-on-budgets-signing-trade-deal/,F,6,6,218,230,auto,LM
2020-01-01,Business World,https://www.bworldonline.com/editors-picks/2020/01/01/271323/shares-to-climb-on-budgets-signing-trade-deal/,HP,1,0,23,24,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271325/yields-on-govt-debt-flat-5/,H,0,0,4,4,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271325/yields-on-govt-debt-flat-5/,F,3,11,387,401,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271325/yields-on-govt-debt-flat-5/,HP,0,0,22,22,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271510/peso-weakens-versus-the-dollar-on-corporate-demand-stock-market/,H,0,1,7,8,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271510/peso-weakens-versus-the-dollar-on-corporate-demand-stock-market/,F,4,8,188,200,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271510/peso-weakens-versus-the-dollar-on-corporate-demand-stock-market/,HP,0,3,19,22,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271345/ali-targets-reit-offering-this-year/?noamp=mobile&amp,H,0,0,5,5,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271345/ali-targets-reit-offering-this-year/?noamp=mobile&amp,F,2,3,242,247,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271345/ali-targets-reit-offering-this-year/?noamp=mobile&amp,HP,0,0,17,17,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271503/index-declines-on-outflows-due-to-china-rrr-cut/,H,0,2,4,6,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271503/index-declines-on-outflows-due-to-china-rrr-cut/,F,2,9,242,253,auto,LM
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271503/index-declines-on-outflows-due-to-china-rrr-cut/,HP,0,2,32,34,auto,LM
2020-01-02,Inquirer,https://business.inquirer.net/286426/bsp-to-require-real-time-liquidity-reports-from-big-banks,H,0,0,8,8,manual,LM
2020-01-02,Inquirer,https://business.inquirer.net/286426/bsp-to-require-real-time-liquidity-reports-from-big-banks,F,5,1,241,247,manual,LM
2020-01-02,Inquirer,https://business.inquirer.net/286426/bsp-to-require-real-time-liquidity-reports-from-big-banks,HP,0,0,34,34,manual,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271482/govt-eyes-tighter-debt-spreads/,H,0,0,5,5,auto,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271482/govt-eyes-tighter-debt-spreads/,F,5,6,380,391,auto,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271482/govt-eyes-tighter-debt-spreads/,HP,0,1,25,26,auto,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271624/stocks-peso-drop-on-1st-trading-day-of-2020/,H,0,0,6,6,auto,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271624/stocks-peso-drop-on-1st-trading-day-of-2020/,F,11,11,360,382,auto,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271624/stocks-peso-drop-on-1st-trading-day-of-2020/,HP,0,0,7,7,auto,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271661/local-stocks-post-years-first-rise/,H,0,0,5,5,auto,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271661/local-stocks-post-years-first-rise/,F,8,2,209,219,auto,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271661/local-stocks-post-years-first-rise/,HP,1,0,20,21,auto,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271663/peso-weakens-sharply-on-threat-of-widening-us-iran-tensions/,H,0,3,4,7,auto,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271663/peso-weakens-sharply-on-threat-of-widening-us-iran-tensions/,F,0,8,147,155,auto,LM
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271663/peso-weakens-sharply-on-threat-of-widening-us-iran-tensions/,HP,0,5,26,31,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/banking-finance/2020/01/06/271969/peso-rebounds-ahead-of-december-inflation-data/,H,0,0,6,6,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/banking-finance/2020/01/06/271969/peso-rebounds-ahead-of-december-inflation-data/,F,4,10,179,193,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/banking-finance/2020/01/06/271969/peso-rebounds-ahead-of-december-inflation-data/,HP,0,1,21,22,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271786/rates-of-t-bills-three-year-bonds-to-move-sideways-ahead-of-data/,H,0,0,7,7,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271786/rates-of-t-bills-three-year-bonds-to-move-sideways-ahead-of-data/,F,0,1,234,235,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271786/rates-of-t-bills-three-year-bonds-to-move-sideways-ahead-of-data/,HP,0,0,25,25,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271787/yields-on-govt-securities-end-flat-on-fresh-tensions/,H,0,0,7,7,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271787/yields-on-govt-securities-end-flat-on-fresh-tensions/,F,2,11,412,425,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271787/yields-on-govt-securities-end-flat-on-fresh-tensions/,HP,0,0,29,29,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271788/peso-to-weaken-further-on-geopolitical-tensions/,H,0,1,3,4,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271788/peso-to-weaken-further-on-geopolitical-tensions/,F,1,11,322,334,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271788/peso-to-weaken-further-on-geopolitical-tensions/,HP,0,2,16,18,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271968/local-shares-decline-on-geopolitical-tensions/,H,0,1,4,5,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271968/local-shares-decline-on-geopolitical-tensions/,F,4,10,213,227,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271968/local-shares-decline-on-geopolitical-tensions/,HP,1,2,12,15,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/banking-finance/2020/01/07/272182/peso-strengthens-on-inflation-gir-data/,H,1,0,4,5,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/banking-finance/2020/01/07/272182/peso-strengthens-on-inflation-gir-data/,F,5,2,172,179,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/banking-finance/2020/01/07/272182/peso-strengthens-on-inflation-gir-data/,HP,2,0,16,18,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/economy/2020/01/07/272285/gir-hits-record-levels-at-end-2019-as-trade-deficit-narrows/,H,0,1,7,8,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/economy/2020/01/07/272285/gir-hits-record-levels-at-end-2019-as-trade-deficit-narrows/,F,10,13,449,472,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/economy/2020/01/07/272285/gir-hits-record-levels-at-end-2019-as-trade-deficit-narrows/,HP,0,2,32,34,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/editors-picks/2020/01/07/272284/bsp-looking-at-rate-cut-to-discourage-hot-money/,H,0,2,5,7,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/editors-picks/2020/01/07/272284/bsp-looking-at-rate-cut-to-discourage-hot-money/,F,0,3,125,128,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/editors-picks/2020/01/07/272284/bsp-looking-at-rate-cut-to-discourage-hot-money/,HP,0,4,20,24,auto,LM
2020-01-08,Business Mirror,https://businessmirror.com.ph/2020/01/08/slew-of-events-spooks-investors-prompt-partial-award-of-t-bonds/,H,0,0,8,8,manual,LM
2020-01-08,Business Mirror,https://businessmirror.com.ph/2020/01/08/slew-of-events-spooks-investors-prompt-partial-award-of-t-bonds/,F,1,4,186,191,manual,LM
2020-01-08,Business Mirror,https://businessmirror.com.ph/2020/01/08/slew-of-events-spooks-investors-prompt-partial-award-of-t-bonds/,HP,0,1,37,38,manual,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272185/peso-may-weaken-anew-on-rate-cuts-ca-deficit/,H,0,2,5,7,auto,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272185/peso-may-weaken-anew-on-rate-cuts-ca-deficit/,F,6,16,310,332,auto,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272185/peso-may-weaken-anew-on-rate-cuts-ca-deficit/,HP,1,5,19,25,auto,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272388/main-index-drops-as-us-iran-tensions-escalate/,H,0,1,5,6,auto,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272388/main-index-drops-as-us-iran-tensions-escalate/,F,0,12,237,249,auto,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272388/main-index-drops-as-us-iran-tensions-escalate/,HP,0,1,20,21,auto,LM
2020-01-08,Inquirer,https://business.inquirer.net/286744/ph-economy-to-outperform-global-peers-in-next-2-years,H,1,0,5,6,manual,LM
2020-01-08,Inquirer,https://business.inquirer.net/286744/ph-economy-to-outperform-global-peers-in-next-2-years,F,7,9,219,235,manual,LM
2020-01-08,Inquirer,https://business.inquirer.net/286744/ph-economy-to-outperform-global-peers-in-next-2-years,HP,4,1,26,31,manual,LM
