Date,Source,URL,Title,Notes,Keywords,Quality
2020-01-01,Business World,https://www.bworldonline.com/banking-finance/2020/01/01/271324/peso-seen-weakening-this-year/,Peso seen weakening this year,Banking,NA,1
2020-01-01,Business World,https://www.bworldonline.com/editors-picks/2020/01/01/271323/shares-to-climb-on-budgets-signing-trade-deal/,"Shares to climb on budget’s signing, trade deal",Stock Market,NA,1
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271325/yields-on-govt-debt-flat-5/,Yields on gov’t debt flat,Banking,NA,1
2020-01-02,Business World,https://www.bworldonline.com/banking-finance/2020/01/02/271510/peso-weakens-versus-the-dollar-on-corporate-demand-stock-market/,"Peso weakens versus the dollar on corporate demand, stock market",Banking,NA,1
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271503/index-declines-on-outflows-due-to-china-rrr-cut/,Index declines on outflows due to China RRR cut,Stock Market,NA,1
2020-01-02,Business World,https://www.bworldonline.com/editors-picks/2020/01/02/271345/ali-targets-reit-offering-this-year/?noamp=mobile&amp,ALI targets REIT offering this year,Corporate finance,NA,2
2020-01-02,Inquirer,https://business.inquirer.net/286426/bsp-to-require-real-time-liquidity-reports-from-big-banks,BSP to require real-time liquidity reports from big banks,Business,NA,1
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271482/govt-eyes-tighter-debt-spreads/,Gov’t eyes tighter debt spreads,Banking,site:business.inquirer.net,1
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271663/peso-weakens-sharply-on-threat-of-widening-us-iran-tensions/,Peso weakens sharply on threat of widening US-Iran tensions,Banking,NA,1
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271661/local-stocks-post-years-first-rise/,Local stocks post year’s first rise,Stock Market,NA,1
2020-01-03,Business World,https://www.bworldonline.com/editors-picks/2020/01/03/271624/stocks-peso-drop-on-1st-trading-day-of-2020/,"Stocks, peso drop on 1st trading day of 2020",Manual selection,NA,2
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271788/peso-to-weaken-further-on-geopolitical-tensions/,Peso to weaken further on geopolitical tensions,Banking,NA,1
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271787/yields-on-govt-securities-end-flat-on-fresh-tensions/,Yields on gov’t securities end flat on fresh tensions,Banking,NA,1
