Date,Source,URL,Title,Notes,Keywords,Quality
16/04/2020,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289537/yields-on-seven-day-deposits-drop-as-bsp-reopens-facility/,Yields on seven-day deposits drop as BSP reopens facility,Manual selection,NA,1
16/04/2020,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289566/bop-position-reverts-to-surplus-in-feb/,BoP position reverts to surplus in Feb.,Manual selection,NA,1
16/04/2020,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289761/shares-wipe-out-recent-gains-on-profit-taking/,Shares wipe out recent gains on profit taking,Manual selection,NA,1
16/04/2020,Inquirer,https://business.inquirer.net/294891/diokno-delivers-early-on-promised-rate-cuts-as-covid-19-accelerates-bsp-timetable,Diokno delivers early on promised rate cuts as COVID-19 accelerates BSP timetable,Business,NA,1
16/04/2020,Inquirer,https://business.inquirer.net/294845/wave-of-loan-restructurings-seen,Wave of loan restructurings seen,Business,NA,1
16/04/2020,Inquirer,https://business.inquirer.net/294849/landbank-offers-loan-package-to-help-small-firms-recover,Landbank offers loan package to help small firms recover,Business,NA,1
16/04/2020,Inquirer,https://business.inquirer.net/294847/bop-swings-to-839-m-surplus-in-february,BOP swings to $839-M surplus in February,Business,NA,1
16/04/2020,Inquirer,https://business.inquirer.net/294843/psei-nears-6000-but-fresh-virus-attack-may-cause-retreat,"PSEi nears 6,000, but fresh virus attack may cause retreat",Business,NA,1
16/04/2020,Business Mirror,https://businessmirror.com.ph/2020/04/16/landbank-opens-lending-window-for-smes-co-ops-affected-by-ecq/,"LandBank opens lending window for SMEs, co-ops affected by ECQ",Business,NA,1
16/04/2020,Business Mirror,https://businessmirror.com.ph/2020/04/16/banks-have-enough-buffer-for-pandemic-stress-analysts/,Banks have enough buffer for pandemic stress–analysts,Business,NA,1
16/04/2020,Business Mirror,https://businessmirror.com.ph/2020/04/16/billease-lazada-launch-loan-program-for-msmes/,"BillEase, Lazada launch loan program for MSMEs",Business,NA,1
17/04/2020,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289697/filipinos-shift-to-e-payments-online-banking-amid-lockdown/,"Filipinos shift to e-payments, online banking amid lockdown",Manual selection,NA,2
17/04/2020,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289958/stocks-up-nearly-5-on-news-of-an-interest-rate-cut/,Stocks up nearly 5% on news of an interest rate cut,Stock Market,NA,1
17/04/2020,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289946/bank-loans-to-small-firms-to-count-in-computing-reserves/,Bank loans to small firms to count in computing reserves,Banking,NA,1
17/04/2020,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289942/peso-weakens-on-rate-cut-china-gdp-contraction/,"Peso weakens on rate cut, China GDP contraction",Banking,NA,1
17/04/2020,Inquirer,https://business.inquirer.net/294962/ph-consumer-confidence-dives-for-2nd-quarter-of-2020-says-new-bsp-survey,"PH consumer confidence dives for 2nd quarter of 2020, says new BSP survey",Business,NA,2
17/04/2020,Inquirer,https://business.inquirer.net/294958/covid-19-impact-london-think-tank-says-ph-likely-to-cut-policy-rate-to-2-percent,COVID-19 impact: London think tank says PH likely to cut policy rate to 2 percent,Business,NA,1
17/04/2020,Inquirer,https://business.inquirer.net/294940/asian-shares-climb-on-china-data-wall-street-rally,"Asian shares climb on China data, Wall Street rally",Business,NA,1
17/04/2020,Inquirer,https://business.inquirer.net/294932/stocks-climb-as-pandemic-winners-pull-away-on-wall-street,Stocks climb as pandemic winners pull away on Wall Street,Business,NA,1
17/04/2020,Inquirer,https://business.inquirer.net/294927/ph-shares-dive-7-wary-mood-back,PH shares dive 7%; wary mood back,Business,NA,1
