dictionary,dv,segment,lag_k,add_ar1,beta,se_hac_q4,t,p,const,R2,R2_adj,sample_N,sample_start,sample_end,nw_lag_fixed,nw_lag_auto_suggest,lb_m5_p,lb_m10_p,N
Correa,psei_ret,F_L,0,False,0.00617297098421061,0.0029026361955792964,2.1266774643036634,0.033446891210243385,-0.0018680288555348035,0.04165665862443646,0.02735302666360706,69,2020-01-03,2020-04-17,4,3,0.3293216910012431,0.6559261625108573,69
Correa,psei_ret,F_L,1,False,-0.00041900736829082985,0.0021145659662534385,-0.19815289519353319,0.8429254408437287,-0.0018191844364504786,0.00020407434412228476,-0.014718252904472928,69,2020-01-03,2020-04-17,4,3,0.3808794967764068,0.740103175444639,69
Correa,psei_ret,HP_L,0,False,0.005665513362355719,0.0027243700573363725,2.0795682095753594,0.0375651554061533,-0.0020201703882400898,0.039027140921729764,0.02468426242802424,69,2020-01-03,2020-04-17,4,3,0.2835402825269898,0.6279539613013339,69
Correa,psei_ret,HP_L,1,False,-0.0016646368743286999,0.0026628778793919695,-0.6251270053393497,0.5318877050155393,-0.001765494154126363,0.0033511394250388404,-0.011524216702945678,69,2020-01-03,2020-04-17,4,3,0.41218309761745836,0.7783768142359183,69
Correa,psei_ret,H_L,0,False,0.004676205526882333,0.0021308885465966968,2.1944862082772163,0.028200474371491053,-0.0020216914856940786,0.029812779609158624,0.015332373334668414,69,2020-01-03,2020-04-17,4,3,0.26695997944296723,0.632579440937808,69
Correa,psei_ret,H_L,1,False,-0.0009117381156790349,0.0021244183163625927,-0.42917070929801787,0.6677989973062073,-0.0017829727826318648,0.0011319498270473405,-0.013776528533743004,69,2020-01-03,2020-04-17,4,3,0.4015698188498742,0.7593736750361875,69
Correa,d_psei_10d_vol_log,F_L,0,False,0.0014040037854760922,0.023057422680585884,0.06089161850072034,0.9514455245283682,0.009430576232119814,6.708145352951611e-05,-0.015556870398759193,66,2020-01-03,2020-04-17,4,3,0.9884665623180284,0.7738301654585686,66
Correa,d_psei_10d_vol_log,F_L,1,False,-0.0069378944812274156,0.018531495390163483,-0.37438395203174213,0.7081186807015063,0.00961074581700686,0.0017265395920768034,-0.013871483226796988,66,2020-01-03,2020-04-17,4,3,0.9899297356479283,0.7739870064058505,66
Correa,d_psei_10d_vol_log,HP_L,0,False,-0.00010482273412913256,0.02272236086071715,-0.0046131973157046416,0.9963192141413623,0.009442400675557988,3.842574333168258e-07,-0.015624609738544182,66,2020-01-03,2020-04-17,4,3,0.9890881905741103,0.7663201983406651,66
Correa,d_psei_10d_vol_log,HP_L,1,False,-0.0035146232738010362,0.01811704499042765,-0.19399539360077916,0.8461794887630847,0.009460356010554498,0.000457786114924863,-0.015160060977029488,66,2020-01-03,2020-04-17,4,3,0.9913388561260253,0.7621732347234297,66
Correa,d_psei_10d_vol_log,H_L,0,False,0.006434286913700361,0.017798361279102545,0.36151007459630574,0.7177181750740946,0.009157186105186458,0.001752684099461943,-0.01384493021148403,66,2020-01-03,2020-04-17,4,3,0.9887320050219404,0.771966519883872,66
Correa,d_psei_10d_vol_log,H_L,1,False,0.01580608960598254,0.015819991519955775,0.9991212439048593,0.3177359612136873,0.008919313675675639,0.010509169490970693,-0.004951624735732851,66,2020-01-03,2020-04-17,4,3,0.9620756304385822,0.7959696406236121,66
Correa,d_psei_30d_vol_log,F_L,0,True,-0.010835826234826863,0.009401268383528215,-1.1525919474665896,0.24907790995455992,0.021174165660409222,0.03363355994873607,0.0003105792573131483,61,2020-01-06,2020-04-17,4,3,0.14496012362309169,0.47328169436378675,61
