dictionary,dv,segment,lag_k,family,add_ar1,beta,se_hac_q4,t,p,q_bh,reject_bh,R2,R2_adj,sample_N,sample_start,sample_end,nw_lag_fixed,nw_lag_auto_suggest,lb_m5_p,lb_m10_p,m_tests,alpha_bh,N,const
LM,psei_ret,F_L,1,prediction_k1_5,False,-0.004674596239132793,0.0021502632271489276,-2.1739646477286985,0.02970779027266857,0.44561685409002855,False,0.025085296501693777,0.009852254259532733,66,2020-01-08,2020-04-17,4,3,0.3602880763997427,0.7297776100927145,15.0,0.05,66,-0.0022930412373206735
LM,psei_ret,F_L,2,prediction_k1_5,False,0.0009099622000199607,0.003059562870055895,0.29741575469025633,0.7661491170802668,0.8011829172994824,False,0.0009559170441136855,-0.014654146752071995,66,2020-01-08,2020-04-17,4,3,0.4083302501215223,0.7650603723477318,15.0,0.05,66,-0.002071625634697176
LM,psei_ret,F_L,3,prediction_k1_5,False,0.0019904855274453055,0.0030696193382446055,0.6484470248951408,0.5166958637465896,0.7807979718023264,False,0.005066905178739867,-0.010478924427842262,66,2020-01-08,2020-04-17,4,3,0.4299961230099085,0.7698138637209014,15.0,0.05,66,-0.0020356330625195744
LM,psei_ret,F_L,4,prediction_k1_5,False,0.0024335082902953546,0.002713721975531554,0.896741933122566,0.3698566392296937,0.7807979718023264,False,0.007778464179467814,-0.007724997317728022,66,2020-01-08,2020-04-17,4,3,0.298283577241597,0.6851872221074022,15.0,0.05,66,-0.0020919401087743407
LM,psei_ret,F_L,5,prediction_k1_5,False,0.001175426181680489,0.0024023235573693235,0.4892872061612073,0.6246383774418611,0.7807979718023264,False,0.0019268225904254255,-0.013668070806599264,66,2020-01-08,2020-04-17,4,3,0.3949145428627206,0.7521984746878441,15.0,0.05,66,-0.002164774066102594
LM,psei_ret,HP_L,1,prediction_k1_5,False,-0.003779304828067976,0.00404323102115026,-0.934723939418332,0.34993058633986884,0.7807979718023264,False,0.017035874196563494,0.0016770597308848334,66,2020-01-08,2020-04-17,4,3,0.5043862615319593,0.8294618178304486,15.0,0.05,66,-0.0019405059405271398
LM,psei_ret,HP_L,2,prediction_k1_5,False,0.001450812440559717,0.0020275826595247777,0.7155379997675442,0.47427666892819353,0.7807979718023264,False,0.0029297020966775333,-0.012649521308061962,66,2020-01-08,2020-04-17,4,3,0.4230350006634569,0.7869708938920581,15.0,0.05,66,-0.0021542229799368542
LM,psei_ret,HP_L,3,prediction_k1_5,False,-0.001078291779623141,0.00310479233245002,-0.34729916341047234,0.7283665792215072,0.8011829172994824,False,0.0016625517601036588,-0.01393647086864469,66,2020-01-08,2020-04-17,4,3,0.3801334356565051,0.7581436794048155,15.0,0.05,66,-0.002114256463012267
LM,psei_ret,HP_L,4,prediction_k1_5,False,-0.0014976785583600506,0.0013416131880794305,-1.1163266518749966,0.26428233732744155,0.7807979718023264,False,0.003126490729675302,-0.012449657852673601,66,2020-01-08,2020-04-17,4,3,0.41921333817016193,0.7487793223723705,15.0,0.05,66,-0.0021553473236052517
LM,psei_ret,HP_L,5,prediction_k1_5,False,0.0033447982731611846,0.0040419578339398665,0.8275193385431409,0.4079427656960608,0.7807979718023264,False,0.014491056148490333,-0.0009075210991895677,66,2020-01-08,2020-04-17,4,3,0.4426646515395587,0.7877234498603191,15.0,0.05,66,-0.001897120293153717
LM,psei_ret,H_L,1,prediction_k1_5,False,-0.0030066548382280136,0.0035209351817747803,-0.8539364353513784,0.39314021013032874,0.7807979718023264,False,0.011619573910941816,-0.003823870246699723,66,2020-01-08,2020-04-17,4,3,0.46782023517533056,0.8135229330719018,15.0,0.05,66,-0.001824921488670448
LM,psei_ret,H_L,2,prediction_k1_5,False,0.0010590300596465367,0.001896593651401949,0.5583853235318536,0.5765812925221586,0.7807979718023264,False,0.0015253016441557632,-0.014075865517654274,66,2020-01-08,2020-04-17,4,3,0.4147241004154359,0.7826534217934437,15.0,0.05,66,-0.002192342935201134
LM,psei_ret,H_L,3,prediction_k1_5,False,-0.0013742190284262074,0.002790884908358769,-0.49239544931085755,0.6224398156838788,0.7807979718023264,False,0.0026472219137387842,-0.012936415243859134,66,2020-01-08,2020-04-17,4,3,0.3690449038193543,0.7524799277430931,15.0,0.05,66,-0.002061542080120801
LM,psei_ret,H_L,4,prediction_k1_5,False,-0.002342422143245193,0.0015172287027933246,-1.543882038965272,0.12261691201798089,0.7807979718023264,False,0.007612623185564993,-0.00789342957716066,66,2020-01-08,2020-04-17,4,3,0.4359274226069546,0.773708522318145,15.0,0.05,66,-0.002153369454650504
LM,psei_ret,H_L,5,prediction_k1_5,False,0.000624671706251278,0.0024806625139768283,0.2518164815776762,0.8011829172994824,0.8011829172994824,False,0.0005033077175218281,-0.01511382809939188,66,2020-01-08,2020-04-17,4,3,0.39110097141799344,0.7536496727947524,15.0,0.05,66,-0.002054124941035139
LM,psei_ret,F_L,0,diagnostic_k0,False,0.0050501286782517005,0.003540106785736342,1.426546989655645,0.15371051331829985,0.15371051331829985,False,0.030607765664424913,0.0161392248534461,69,2020-01-03,2020-04-17,4,3,0.3575005129707692,0.7020915612833725,1.0,0.05,69,-0.0019272899284144913
LM,psei_ret,HP_L,0,diagnostic_k0,False,0.0033014125798324855,0.0025609737374217055,1.28912394984426,0.19735499854754224,0.19735499854754224,False,0.013072450389060464,-0.0016578115454313203,69,2020-01-03,2020-04-17,4,3,0.32109676939431003,0.7018116984071382,1.0,0.05,69,-0.001889398823866683
