dv,segment,lag_k,add_ar1,sample_N,sample_start,sample_end,resid_rho_lag1
cds_logdiff,F_L,0,False,77,2020-01-02,2020-04-17,-0.152
cds_logdiff,F_L,1,False,77,2020-01-02,2020-04-17,-0.116
cds_logdiff,F_L,0,True,76,2020-01-03,2020-04-17,0.002
cds_logdiff,F_L,1,True,76,2020-01-03,2020-04-17,-0.005
cds_logdiff,HP_L,0,False,77,2020-01-02,2020-04-17,-0.156
cds_logdiff,HP_L,1,False,77,2020-01-02,2020-04-17,-0.114
cds_logdiff,HP_L,0,True,76,2020-01-03,2020-04-17,-0.004
cds_logdiff,HP_L,1,True,76,2020-01-03,2020-04-17,-0.005
cds_logdiff,H_L,0,False,77,2020-01-02,2020-04-17,-0.156
cds_logdiff,H_L,1,False,77,2020-01-02,2020-04-17,-0.121
cds_logdiff,H_L,0,True,76,2020-01-03,2020-04-17,-0.016
cds_logdiff,H_L,1,True,76,2020-01-03,2020-04-17,-0.005
d_psei_10d_vol_log,F_L,0,False,66,2020-01-03,2020-04-17,0.002
d_psei_10d_vol_log,F_L,1,False,66,2020-01-03,2020-04-17,0.004
d_psei_10d_vol_log,HP_L,0,False,66,2020-01-03,2020-04-17,0.002
d_psei_10d_vol_log,HP_L,1,False,66,2020-01-03,2020-04-17,0.006
d_psei_10d_vol_log,H_L,0,False,66,2020-01-03,2020-04-17,-0.005
d_psei_10d_vol_log,H_L,1,False,66,2020-01-03,2020-04-17,-0.018
d_psei_30d_vol_log,F_L,0,False,66,2020-01-03,2020-04-17,-0.074
d_psei_30d_vol_log,F_L,1,False,66,2020-01-03,2020-04-17,-0.068
d_psei_30d_vol_log,F_L,0,True,61,2020-01-06,2020-04-17,-0.02
d_psei_30d_vol_log,F_L,1,True,61,2020-01-06,2020-04-17,-0.011
d_psei_30d_vol_log,HP_L,0,False,66,2020-01-03,2020-04-17,-0.055
d_psei_30d_vol_log,HP_L,1,False,66,2020-01-03,2020-04-17,-0.06
d_psei_30d_vol_log,HP_L,0,True,61,2020-01-06,2020-04-17,-0.012
d_psei_30d_vol_log,HP_L,1,True,61,2020-01-06,2020-04-17,-0.014
d_psei_30d_vol_log,H_L,0,False,66,2020-01-03,2020-04-17,-0.06
d_psei_30d_vol_log,H_L,1,False,66,2020-01-03,2020-04-17,-0.061
d_psei_30d_vol_log,H_L,0,True,61,2020-01-06,2020-04-17,-0.01
d_psei_30d_vol_log,H_L,1,True,61,2020-01-06,2020-04-17,-0.016
d_vix_log,F_L,0,False,70,2020-01-03,2020-04-17,-0.235
d_vix_log,F_L,1,False,70,2020-01-03,2020-04-17,-0.195
d_vix_log,F_L,0,True,66,2020-01-06,2020-04-17,0.016
d_vix_log,F_L,1,True,66,2020-01-06,2020-04-17,0.016
d_vix_log,HP_L,0,False,70,2020-01-03,2020-04-17,-0.211
d_vix_log,HP_L,1,False,70,2020-01-03,2020-04-17,-0.16
d_vix_log,HP_L,0,True,66,2020-01-06,2020-04-17,0.048
d_vix_log,HP_L,1,True,66,2020-01-06,2020-04-17,0.056
d_vix_log,H_L,0,False,70,2020-01-03,2020-04-17,-0.205
d_vix_log,H_L,1,False,70,2020-01-03,2020-04-17,-0.168
d_vix_log,H_L,0,True,66,2020-01-06,2020-04-17,0.044
d_vix_log,H_L,1,True,66,2020-01-06,2020-04-17,0.045
fx_ret,F_L,0,False,67,2020-01-03,2020-04-17,-0.217
fx_ret,F_L,1,False,67,2020-01-03,2020-04-17,-0.223
fx_ret,HP_L,0,False,67,2020-01-03,2020-04-17,-0.216
fx_ret,HP_L,1,False,67,2020-01-03,2020-04-17,-0.222
fx_ret,H_L,0,False,67,2020-01-03,2020-04-17,-0.217
fx_ret,H_L,1,False,67,2020-01-03,2020-04-17,-0.219
psei_ret,F_L,0,False,69,2020-01-03,2020-04-17,-0.114
psei_ret,F_L,1,False,69,2020-01-03,2020-04-17,-0.081
psei_ret,HP_L,0,False,69,2020-01-03,2020-04-17,-0.101
psei_ret,HP_L,1,False,69,2020-01-03,2020-04-17,-0.075
psei_ret,H_L,0,False,69,2020-01-03,2020-04-17,-0.103
psei_ret,H_L,1,False,69,2020-01-03,2020-04-17,-0.077
