date,sent_H,sent_F,sent_HP,sent_H_L,sent_F_L,sent_HP_L,art_count,token_count_H,token_count_F,token_count_HP
2020-01-01,-0.1,0.013157895,0,-0.076923077,0.013100437,0,2,10,684,45
2020-01-02,-0.032258065,0,-0.023255814,-0.029411765,0,-0.022727273,5,31,1348,129
2020-01-03,-0.043478261,-0.002615519,-0.011764706,-0.038461538,-0.002608696,-0.011363636,4,23,1147,85
2020-01-06,-0.034482759,-0.00990099,-0.027522936,-0.03125,-0.009880028,-0.026785714,5,29,1414,109
2020-01-07,0,-0.001283697,0.013157895,0,-0.001278772,0.012658228,3,20,779,76
2020-01-08,-0.074074074,-0.004965243,-0.017391304,-0.066666667,-0.004950495,-0.016949153,4,27,1007,115
2020-01-09,0,-0.005454545,0.021276596,0,-0.00543971,0.02,3,21,1100,47
2020-01-10,0,-0.018604651,0,0,-0.018348624,0,1,8,215,25
2020-01-13,0,-0.006685237,0.0078125,0,-0.006674082,0.007633588,7,43,1795,128
2020-01-14,-0.058823529,-0.015819209,-0.076923077,-0.05,-0.015765766,-0.072727273,3,17,885,52
2020-01-15,0,-0.012566138,0,0,-0.012541254,0,6,33,1512,155
2020-01-16,-0.041666667,-0.00870322,-0.02020202,-0.037037037,-0.008680556,-0.019607843,4,24,1149,99
2020-01-17,0.095238095,0.016591252,0.046153846,0.083333333,0.016516517,0.044117647,3,21,663,65
2020-01-20,-0.042553191,-0.005640158,-0.038167939,-0.04,-0.005630631,-0.037313433,7,47,1773,131
2020-01-21,0,-0.019553073,-0.027027027,0,-0.019512195,-0.026315789,6,34,1432,111
2020-01-22,0,-0.015625,-0.022222222,0,-0.015609094,-0.021857923,7,50,2944,180
2020-01-23,-0.039215686,-0.005722461,-0.017142857,-0.037037037,-0.005714286,-0.016853933,8,51,2097,175
2020-01-24,0.03030303,-0.001703578,0.038461538,0.027777778,-0.001699235,0.037383178,5,33,1174,104
2020-01-25,0,0.002747253,0,0,0.002735978,0,2,9,728,55
2020-01-27,-0.055555556,-0.022604952,-0.025641026,-0.051282051,-0.022568512,-0.025,6,36,1858,117
2020-01-28,-0.108108108,-0.037192561,-0.069565217,-0.1,-0.037125749,-0.06779661,5,37,1667,115
2020-01-29,-0.195121951,-0.011494253,-0.06993007,-0.181818182,-0.011477762,-0.068493151,6,41,2088,143
2020-01-30,-0.016666667,-0.013525976,-0.033783784,-0.015873016,-0.013513514,-0.033112583,10,60,3253,148
2020-01-31,-0.064516129,-0.006982157,-0.016806723,-0.058823529,-0.006965944,-0.016393443,6,31,1289,119
2020-02-01,-0.111111111,-0.033388982,-0.058252427,-0.1,-0.033305579,-0.056603774,4,27,1198,103
2020-02-02,0,-0.003194888,0,0,-0.003164557,0,1,8,313,8
2020-02-03,-0.054054054,-0.009274414,-0.036363636,-0.05,-0.009259259,-0.03539823,6,37,1833,110
2020-02-04,0.069767442,-0.006417112,0.00729927,0.065217391,-0.006406834,0.007142857,6,43,1870,137
2020-02-05,0,-0.010384615,0.006493506,0,-0.010372647,0.006369427,8,57,2600,154
2020-02-06,-0.035714286,-0.004946414,-0.011235955,-0.033898305,-0.004940305,-0.011049724,9,56,2426,178
2020-02-07,0,-0.006861063,-0.004739336,0,-0.006852248,-0.004672897,9,60,2332,211
2020-02-08,0,-0.015738499,-0.035087719,0,-0.015681544,-0.033333333,2,13,826,57
2020-02-09,0,-0.034375,-0.035714286,0,-0.034055728,-0.032258065,1,6,320,28
2020-02-10,-0.054545455,-0.009300723,-0.01369863,-0.051724138,-0.009291122,-0.013513514,10,55,2903,219
2020-02-11,0.065217391,-0.00578369,0.039735099,0.06122449,-0.005773672,0.038961039,7,46,1729,151
2020-02-12,0.029411765,-0.001664817,0.033613445,0.027027027,-0.00166205,0.032786885,6,34,1802,119
2020-02-13,-0.056603774,-0.028593214,-0.074074074,-0.053571429,-0.028560548,-0.072916667,8,53,2623,189
2020-02-14,-0.01754386,-0.018256976,-0.008196721,-0.016666667,-0.018238128,-0.008097166,9,57,2903,244
2020-02-15,0,-0.016326531,-0.02,0,-0.016227181,-0.018867925,2,9,490,50
2020-02-16,0,0.016260163,0,0,0.016064257,0,1,6,246,6
2020-02-17,-0.038461538,-0.005563986,-0.024390244,-0.036363636,-0.005555556,-0.023952096,7,52,1977,164
2020-02-18,0,-0.019047619,-0.027149321,0,-0.019023987,-0.026785714,8,63,2415,221
2020-02-19,0,-0.006953224,0.008474576,0,-0.006940063,0.008264463,5,33,1582,118
2020-02-20,-0.032258065,-0.011359185,-0.015228426,-0.030769231,-0.011345853,-0.015,9,62,2553,197
2020-02-21,-0.046875,-0.014925373,-0.025925926,-0.044776119,-0.014910859,-0.025641026,10,64,3082,270
2020-02-23,-0.142857143,-0.034168565,-0.142857143,-0.1,-0.033936652,-0.1,1,7,439,7
2020-02-24,-0.071428571,-0.027420257,-0.054545455,-0.066666667,-0.027374302,-0.053097345,6,42,1787,110
2020-02-25,-0.1,-0.030646992,-0.106382979,-0.076923077,-0.030542986,-0.1,2,10,881,47
2020-02-26,-0.041666667,-0.026686808,-0.036363636,-0.04040404,-0.026666667,-0.036036036,14,96,3972,330
2020-02-27,-0.055555556,-0.022979985,-0.025270758,-0.053333333,-0.022954461,-0.025,10,72,2698,277
2020-02-28,-0.12962963,-0.016770671,-0.058441558,-0.122807018,-0.016751071,-0.057324841,8,54,2564,154
2020-02-29,-0.095238095,-0.04576659,-0.11627907,-0.083333333,-0.045610034,-0.108695652,3,21,874,43
2020-03-01,-0.076923077,-0.018163471,-0.052631579,-0.0625,-0.018108652,-0.048780488,2,13,991,38
2020-03-02,-0.02739726,-0.027720028,-0.040462428,-0.026315789,-0.027700831,-0.039772727,13,73,4329,173
2020-03-03,-0.046875,-0.013623188,-0.035,-0.044776119,-0.013611352,-0.034482759,10,64,3450,200
2020-03-04,-0.022222222,-0.012567838,-0.022082019,-0.021505376,-0.012557078,-0.021875,13,90,3501,317
2020-03-05,0,-0.005192108,-0.024390244,0,-0.005188067,-0.024096386,10,62,3852,246
2020-03-06,-0.073170732,-0.025675077,-0.051282051,-0.068181818,-0.025641026,-0.050505051,7,41,2259,195
2020-03-07,-0.036363636,-0.024972856,-0.040322581,-0.034482759,-0.02494577,-0.039370079,10,55,2763,124
2020-03-08,-0.2,-0.018779343,-0.058823529,-0.125,-0.018648019,-0.05,1,5,426,17
2020-03-09,-0.069306931,-0.024793388,-0.056338028,-0.067307692,-0.024774194,-0.055749129,15,101,3872,284
2020-03-10,-0.041666667,-0.014685117,-0.006944444,-0.04,-0.014672686,-0.006802721,11,72,3541,144
2020-03-11,0,-0.006704981,0.014492754,0,-0.006695361,0.014184397,7,36,2088,138
