date,sent_H,sent_F,sent_HP,sent_H_L,sent_F_L,sent_HP_L,art_count,token_count_H,token_count_F,token_count_HP,dictionary
2020-01-01,-0.1,-0.001461988,-0.022222222,-0.076923077,-0.001455604,-0.020833333,2,10,684,45,LM
2020-01-02,-0.096774194,-0.011869436,-0.03875969,-0.088235294,-0.011843079,-0.037878788,5,31,1348,129,LM
2020-01-03,-0.130434783,-0.002615519,-0.058823529,-0.115384615,-0.002608696,-0.056818182,4,23,1147,85,LM
2020-01-06,-0.068965517,-0.022630835,-0.036697248,-0.0625,-0.022582922,-0.035714286,5,29,1414,109,LM
2020-01-07,-0.1,-0.003851091,-0.052631579,-0.086956522,-0.003836317,-0.050632911,3,20,779,76,LM
2020-01-08,-0.074074074,-0.026812314,-0.026086957,-0.066666667,-0.026732673,-0.025423729,4,27,1007,115,LM
2020-01-09,0,-0.023636364,-0.021276596,0,-0.023572076,-0.02,3,21,1100,47,LM
2020-01-10,0,-0.027906977,0,0,-0.027522936,0,1,8,215,25,LM
2020-01-13,0,-0.021727019,0,0,-0.021690768,0,7,43,1795,128,LM
2020-01-14,-0.058823529,-0.01920904,-0.057692308,-0.05,-0.019144144,-0.054545455,3,17,885,52,LM
2020-01-15,-0.03030303,-0.025793651,-0.012903226,-0.027777778,-0.025742574,-0.012658228,6,33,1512,155,LM
2020-01-16,-0.041666667,-0.024369017,-0.060606061,-0.037037037,-0.024305556,-0.058823529,4,24,1149,99,LM
2020-01-17,-0.095238095,0.007541478,-0.030769231,-0.083333333,0.007507508,-0.029411765,3,21,663,65,LM
2020-01-20,-0.042553191,-0.015792442,-0.022900763,-0.04,-0.015765766,-0.02238806,7,47,1773,131,LM
2020-01-21,-0.029411765,-0.044692737,-0.054054054,-0.027027027,-0.044599303,-0.052631579,6,34,1432,111,LM
2020-01-22,0,-0.028532609,-0.027777778,0,-0.028503563,-0.027322404,7,50,2944,180,LM
2020-01-23,-0.039215686,-0.008583691,-0.034285714,-0.037037037,-0.008571429,-0.033707865,8,51,2097,175,LM
2020-01-24,0,-0.014480409,0,0,-0.0144435,0,5,33,1174,104,LM
2020-01-25,0,-0.010989011,0.018181818,0,-0.010943912,0.017241379,2,9,728,55,LM
2020-01-27,-0.138888889,-0.023143165,-0.042735043,-0.128205128,-0.023105857,-0.041666667,6,36,1858,117,LM
2020-01-28,-0.135135135,-0.044391122,-0.12173913,-0.125,-0.044311377,-0.118644068,5,37,1667,115,LM
2020-01-29,-0.195121951,-0.024425287,-0.076923077,-0.181818182,-0.024390244,-0.075342466,6,41,2088,143,LM
2020-01-30,-0.066666667,-0.029818629,-0.060810811,-0.063492063,-0.029791155,-0.059602649,10,60,3253,148,LM
2020-01-31,-0.064516129,-0.021722265,-0.016806723,-0.058823529,-0.021671827,-0.016393443,6,31,1289,119,LM
2020-02-01,-0.111111111,-0.043405676,-0.077669903,-0.1,-0.043297252,-0.075471698,4,27,1198,103,LM
2020-02-02,0,-0.028753994,0,0,-0.028481013,0,1,8,313,8,LM
2020-02-03,-0.162162162,-0.026732133,-0.072727273,-0.15,-0.026688453,-0.07079646,6,37,1833,110,LM
2020-02-04,0.046511628,-0.02513369,0,0.043478261,-0.025093433,0,6,43,1870,137,LM
2020-02-05,-0.01754386,-0.029230769,-0.038961039,-0.016666667,-0.02919708,-0.038216561,8,57,2600,154,LM
2020-02-06,-0.017857143,-0.017312448,-0.02247191,-0.016949153,-0.017291066,-0.022099448,9,56,2426,178,LM
2020-02-07,-0.066666667,-0.018439108,-0.033175355,-0.063492063,-0.018415418,-0.03271028,9,60,2332,211,LM
2020-02-08,-0.076923077,-0.023002421,-0.087719298,-0.0625,-0.02291918,-0.083333333,2,13,826,57,LM
2020-02-09,0,-0.04375,-0.035714286,0,-0.043343653,-0.032258065,1,6,320,28,LM
2020-02-10,-0.145454545,-0.026179814,-0.063926941,-0.137931034,-0.026152787,-0.063063063,10,55,2903,219,LM
2020-02-11,0.065217391,-0.016772701,0.01986755,0.06122449,-0.016743649,0.019480519,7,46,1729,151,LM
2020-02-12,0,-0.008879023,0.008403361,0,-0.008864266,0.008196721,6,34,1802,119,LM
2020-02-13,-0.132075472,-0.042317957,-0.100529101,-0.125,-0.042269612,-0.098958333,8,53,2623,189,LM
2020-02-14,-0.070175439,-0.038580779,-0.06147541,-0.066666667,-0.03854095,-0.060728745,9,57,2903,244,LM
2020-02-15,-0.111111111,-0.020408163,-0.08,-0.083333333,-0.020283976,-0.075471698,2,9,490,50,LM
2020-02-16,-0.166666667,-0.020325203,-0.166666667,-0.111111111,-0.020080321,-0.111111111,1,6,246,6,LM
2020-02-17,-0.057692308,-0.020738493,-0.054878049,-0.054545455,-0.020707071,-0.053892216,7,52,1977,164,LM
2020-02-18,0,-0.037681159,-0.027149321,0,-0.037634409,-0.026785714,8,63,2415,221,LM
2020-02-19,0,-0.029709229,0,0,-0.029652997,0,5,33,1582,118,LM
2020-02-20,-0.048387097,-0.021151586,-0.040609137,-0.046153846,-0.021126761,-0.04,9,62,2553,197,LM
2020-02-21,-0.09375,-0.037313433,-0.059259259,-0.089552239,-0.037277147,-0.058608059,10,64,3082,270,LM
2020-02-23,-0.142857143,-0.045558087,-0.142857143,-0.1,-0.045248869,-0.1,1,7,439,7,LM
2020-02-24,-0.071428571,-0.040850588,-0.054545455,-0.066666667,-0.040782123,-0.053097345,6,42,1787,110,LM
2020-02-25,-0.2,-0.039727582,-0.127659574,-0.153846154,-0.03959276,-0.12,2,10,881,47,LM
2020-02-26,-0.03125,-0.047834844,-0.042424242,-0.03030303,-0.047798742,-0.042042042,14,96,3972,330,LM
2020-02-27,-0.069444444,-0.039659007,-0.036101083,-0.066666667,-0.039614957,-0.035714286,10,72,2698,277,LM
2020-02-28,-0.111111111,-0.039781591,-0.058441558,-0.105263158,-0.039735099,-0.057324841,8,54,2564,154,LM
2020-02-29,-0.19047619,-0.06979405,-0.139534884,-0.166666667,-0.069555302,-0.130434783,3,21,874,43,LM
2020-03-01,-0.153846154,-0.048435923,-0.078947368,-0.125,-0.048289738,-0.073170732,2,13,991,38,LM
2020-03-02,-0.082191781,-0.043428043,-0.040462428,-0.078947368,-0.043397969,-0.039772727,13,73,4329,173,LM
2020-03-03,-0.078125,-0.034782609,-0.03,-0.074626866,-0.034752389,-0.02955665,10,64,3450,200,LM
2020-03-04,-0.055555556,-0.03627535,-0.041009464,-0.053763441,-0.036244292,-0.040625,13,90,3501,317,LM
2020-03-05,-0.032258065,-0.022326064,-0.048780488,-0.030769231,-0.02230869,-0.048192771,10,62,3852,246,LM
2020-03-06,-0.048780488,-0.041611332,-0.051282051,-0.045454545,-0.041556145,-0.050505051,7,41,2259,195,LM
2020-03-07,-0.054545455,-0.052841115,-0.056451613,-0.051724138,-0.052783803,-0.05511811,10,55,2763,124,LM
2020-03-08,-0.2,-0.035211268,0,-0.125,-0.034965035,0,1,5,426,17,LM
2020-03-09,-0.128712871,-0.050878099,-0.095070423,-0.125,-0.05083871,-0.094076655,15,101,3872,284,LM
2020-03-10,-0.069444444,-0.03981926,-0.041666667,-0.066666667,-0.039785553,-0.040816327,11,72,3541,144,LM
2020-03-11,0.027777778,-0.022988506,0.02173913,0.025641026,-0.022955524,0.021276596,7,36,2088,138,LM
2020-03-12,-0.040816327,-0.038233955,-0.037735849,-0.038461538,-0.038181818,-0.036697248,8,49,2197,106,LM
2020-03-13,-0.050314465,-0.032789253,-0.025316456,-0.049382716,-0.032775051,-0.025125628,24,159,6923,395,LM
2020-03-14,0.034482759,-0.033613445,-0.010416667,0.03125,-0.033519553,-0.01010101,4,29,1071,96,LM
2020-03-15,0,-0.053254438,0,0,-0.053097345,0,3,21,1014,33,LM
2020-03-16,-0.072580645,-0.03683834,-0.031825796,-0.070866142,-0.036818588,-0.031666667,19,124,5592,597,LM
2020-03-17,-0.105263158,-0.028641754,-0.061764706,-0.102040816,-0.02862254,-0.06122449,14,95,4469,340,LM
2020-03-18,-0.007874016,-0.025263541,0.00530504,-0.007692308,-0.025249773,0.005263158,21,127,5502,377,LM
2020-03-19,-0.094117647,-0.03929651,-0.055350554,-0.090909091,-0.039264141,-0.054744526,13,85,3639,271,LM
2020-03-20,-0.037735849,-0.030517381,-0.044692737,-0.036697248,-0.030498889,-0.04432133,16,106,4948,358,LM
2020-03-21,-0.03125,-0.029690461,-0.049586777,-0.028571429,-0.0296343,-0.048387097,5,32,1583,121,LM
2020-03-22,0,-0.058823529,0.028571429,0,-0.058679707,0.026315789,2,9,1224,35,LM
2020-03-23,-0.045112782,-0.025676374,-0.028795812,-0.044117647,-0.025663107,-0.028571429,21,133,5803,382,LM
2020-03-24,-0.03125,-0.035042515,-0.027131783,-0.03030303,-0.035015448,-0.026819923,14,96,3881,258,LM
2020-03-25,-0.072289157,-0.033828182,-0.043478261,-0.069767442,-0.033803502,-0.043010753,13,83,4109,276,LM
2020-03-26,0.008695652,-0.031156637,-0.029325513,0.008474576,-0.031136703,-0.029069767,19,115,4686,341,LM
2020-03-27,-0.03030303,-0.015719468,-0.030612245,-0.027777778,-0.015691008,-0.02970297,6,33,1654,98,LM
2020-03-28,0,-0.020114943,0.035714286,0,-0.020028612,0.032258065,3,16,696,28,LM
2020-03-29,0,-0.035714286,-0.1,0,-0.035335689,-0.090909091,1,8,280,30,LM
2020-03-30,-0.14893617,-0.031626506,-0.101694915,-0.144329897,-0.031608655,-0.100671141,18,94,5312,295,LM
2020-03-31,-0.075,-0.032081662,-0.028571429,-0.072289157,-0.032046613,-0.028169014,11,80,2743,210,LM
2020-04-01,-0.166666667,-0.042367182,-0.094972067,-0.157894737,-0.042324488,-0.093406593,9,54,2974,179,LM
2020-04-02,-0.083333333,-0.04004004,-0.059633028,-0.08,-0.04,-0.058823529,12,72,2997,218,LM
2020-04-03,-0.095238095,-0.038391699,-0.051612903,-0.092592593,-0.038361846,-0.051118211,15,105,3855,310,LM
2020-04-04,0,-0.016548463,-0.015384615,0,-0.016431925,-0.014705882,2,13,423,65,LM
2020-04-05,-0.064516129,-0.020240354,-0.068965517,-0.058823529,-0.02020202,-0.067226891,5,31,1581,116,LM
2020-04-06,-0.105263158,-0.036205648,-0.068493151,-0.097560976,-0.036127168,-0.067114094,6,38,1381,146,LM
2020-04-07,-0.08,-0.03200883,-0.049295775,-0.075471698,-0.031973539,-0.048275862,9,50,2718,142,LM
2020-04-08,-0.101694915,-0.031122289,-0.038834951,-0.096774194,-0.031092965,-0.038277512,10,59,3181,206,LM
2020-04-09,-0.117647059,-0.041876696,-0.085106383,-0.111111111,-0.04182804,-0.082474227,9,51,2579,94,LM
2020-04-10,-0.05,-0.035322777,-0.026315789,-0.043478261,-0.035194175,-0.024390244,3,20,821,38,LM
2020-04-11,0,-0.046661881,0,0,-0.046561605,0,3,20,1393,73,LM
2020-04-12,-0.047619048,-0.023722628,-0.057142857,-0.041666667,-0.023593466,-0.054794521,3,21,548,70,LM
2020-04-13,-0.033613445,-0.030631892,-0.026373626,-0.032786885,-0.030615815,-0.026200873,19,119,5713,455,LM
