date,sent_H,sent_F,sent_HP,sent_H_L,sent_F_L,sent_HP_L,art_count,token_count_H,token_count_F,token_count_HP
2020-01-01,-0.1,0.013157895,0,-0.076923077,0.013100437,0,2,10,684,45
2020-01-02,-0.043478261,-0.003633061,-0.031578947,-0.038461538,-0.003623188,-0.030612245,4,23,1101,95
2020-01-03,-0.043478261,-0.002615519,-0.011764706,-0.038461538,-0.002608696,-0.011363636,4,23,1147,85
2020-01-06,-0.034482759,-0.00990099,-0.027522936,-0.03125,-0.009880028,-0.026785714,5,29,1414,109
2020-01-07,0,-0.001283697,0.013157895,0,-0.001278772,0.012658228,3,20,779,76
2020-01-08,-0.074074074,-0.004965243,-0.017391304,-0.066666667,-0.004950495,-0.016949153,4,27,1007,115
2020-01-09,0,0.005586592,0.026315789,0,0.005563282,0.024390244,2,12,716,38
2020-01-10,0,-0.018604651,0,0,-0.018348624,0,1,8,215,25
2020-01-13,0,-0.006685237,0.0078125,0,-0.006674082,0.007633588,7,43,1795,128
2020-01-14,-0.058823529,-0.015819209,-0.076923077,-0.05,-0.015765766,-0.072727273,3,17,885,52
2020-01-15,0,-0.012566138,0,0,-0.012541254,0,6,33,1512,155
2020-01-16,-0.041666667,-0.00870322,-0.02020202,-0.037037037,-0.008680556,-0.019607843,4,24,1149,99
2020-01-17,0.095238095,0.016591252,0.046153846,0.083333333,0.016516517,0.044117647,3,21,663,65
2020-01-20,-0.05,-0.003219575,-0.042735043,-0.046511628,-0.003213368,-0.041666667,6,40,1553,117
2020-01-21,-0.052631579,-0.012910798,-0.041666667,-0.045454545,-0.012865497,-0.04040404,4,19,852,96
2020-01-22,0,-0.015625,-0.022222222,0,-0.015609094,-0.021857923,7,50,2944,180
2020-01-23,-0.043478261,-0.006432459,-0.025806452,-0.040816327,-0.006422925,-0.025316456,7,46,2021,155
2020-01-24,0.037037037,-0.002234637,0.043478261,0.033333333,-0.002227171,0.042105263,4,27,895,92
2020-01-27,-0.055555556,-0.022604952,-0.025641026,-0.051282051,-0.022568512,-0.025,6,36,1858,117
2020-01-28,-0.108108108,-0.037192561,-0.069565217,-0.1,-0.037125749,-0.06779661,5,37,1667,115
2020-01-29,-0.195121951,-0.011494253,-0.06993007,-0.181818182,-0.011477762,-0.068493151,6,41,2088,143
2020-01-30,-0.037037037,-0.016219588,-0.060606061,-0.033333333,-0.01618929,-0.058823529,5,27,1603,99
2020-01-31,-0.076923077,-0.009140768,-0.018348624,-0.068965517,-0.00911577,-0.017857143,5,26,1094,109
2020-02-03,-0.083333333,-0.007081039,-0.043956044,-0.074074074,-0.007064364,-0.042553191,4,24,1271,91
2020-02-04,0.078947368,-0.002779708,0.007575758,0.073170732,-0.002773925,0.007407407,5,38,1439,132
2020-02-05,0,-0.009978992,0.007194245,0,-0.009963293,0.007042254,6,42,1904,139
2020-02-06,-0.04,-0.005263158,-0.011627907,-0.037735849,-0.005256242,-0.011428571,8,50,2280,172
2020-02-07,0,-0.006861063,-0.004739336,0,-0.006852248,-0.004672897,9,60,2332,211
2020-02-10,-0.039215686,-0.006638032,0,-0.037037037,-0.006630265,0,9,51,2561,194
2020-02-11,0.073170732,-0.002517306,0.042553191,0.068181818,-0.002512563,0.041666667,6,41,1589,141
2020-02-12,0,-0.002461538,0.018018018,0,-0.002457002,0.01754386,5,30,1625,111
2020-02-13,-0.02173913,-0.022046589,-0.057142857,-0.020408163,-0.022019111,-0.056179775,7,46,2404,175
2020-02-14,-0.01754386,-0.018263267,-0.008196721,-0.016666667,-0.018244406,-0.008097166,9,57,2902,244
2020-02-17,-0.045454545,-0.00496963,-0.027027027,-0.042553191,-0.004961411,-0.026490066,6,44,1811,148
2020-02-18,0,-0.020833333,-0.029268293,0,-0.020804438,-0.028846154,7,55,2160,205
